year,start,end,duration,band,day,stage
2014,00:00:00,01:00:00,01:00:00,1349,Sunday,The Temple
2011,19:00:00,19:50:00,00:50:00,1349,Saturday,Rock Hard tent
2007,20:15:00,20:45:00,00:30:00,1349,Sunday,Discover stage
2012,10:30:00,11:00:00,00:30:00,???,Friday,The Valley
2012,11:40:00,12:10:00,00:30:00,???,Saturday,The Valley
2012,12:50:00,13:30:00,00:40:00,???,Saturday,The Altar
2010,15:15:00,16:00:00,00:45:00,???,Sunday,Rock Hard tent
2009,16:40:00,17:20:00,00:40:00,???,Friday,Mainstage 02
2007,01:00:00,???,check,???,Friday,Mainstage
2010,12:10:00,12:40:00,00:30:00,16ÿ,Sunday,Terrorizer tent
2013,15:15:00,16:05:00,00:50:00,3 Doors Down,Saturday,Mainstage 01
2006,16:40:00,17:20:00,00:40:00,36 Crazyfists,Sunday,Mainstage
2010,17:20:00,18:00:00,00:40:00,36 Crazyfists,Saturday,Terrorizer tent
2010,11:05:00,11:35:00,00:30:00,69 Chambers,Friday,Mainstage 01
2013,10:30:00,11:00:00,00:30:00,7 Weeks,Friday,The Valley
2007,13:30:00,14:00:00,00:30:00,7th Nemesis,Friday,Discover stage
2015,16:45:00,17:35:00,00:50:00,A Day to Remember,Sunday,Mainstage 01
2013,18:00:00,18:50:00,00:50:00,A Day to Remember,Saturday,Mainstage 02
2016,00:50:00,01:50:00,01:00:00,Abbath,Friday,The Temple
2007,16:40:00,17:10:00,00:30:00,Aborted,Sunday,Gibson stage
2012,19:45:00,20:45:00,01:00:00,Aborted,Saturday,The Altar
2013,17:40:00,18:30:00,00:50:00,Absu,Friday,The Temple
2012,10:30:00,11:00:00,00:30:00,Abysse,Sunday,The Valley
2013,18:55:00,19:55:00,01:00:00,Accept,Saturday,Mainstage 01
2015,15:05:00,15:55:00,00:50:00,Ace Frehley,Saturday,Mainstage 01
2012,15:55:00,16:40:00,00:45:00,Acid King,Sunday,The Valley
2014,17:50:00,18:40:00,00:50:00,Acid King,Saturday,The Valley
2009,11:35:00,12:05:00,00:30:00,Adagio,Sunday,Mainstage 01
2014,22:55:00,00:55:00,02:00:00,Aerosmith,Saturday,Mainstage 01
2007,14:00:00,14:30:00,00:30:00,After Forever,Saturday,Mainstage
2014,22:55:00,23:55:00,01:00:00,Against Me!,Saturday,The Warzone
2013,20:45:00,21:45:00,01:00:00,Agnostic Front,Friday,The Warzone
2006,22:20:00,23:00:00,00:40:00,Agnostic Front,Sunday,Hard'n'heavy stage
2010,22:20:00,23:20:00,01:00:00,Agnostic Front,Saturday,Terrorizer tent
2016,15:50:00,16:40:00,00:50:00,Agoraphobic Nosebleed,Saturday,The Altar
2016,11:40:00,12:10:00,00:30:00,Agressor,Sunday,The Altar
2015,17:25:00,18:10:00,00:45:00,Ahab,Saturday,The Valley
2008,13:20:00,14:00:00,00:40:00,Airbourne,Saturday,Mainstage
2015,16:55:00,17:45:00,00:50:00,Airbourne,Saturday,Mainstage 01
2010,17:00:00,17:50:00,00:50:00,Airbourne,Saturday,Mainstage 01
2006,19:40:00,20:10:00,00:30:00,Akercocke,Friday,Hard'n'heavy stage
2012,12:50:00,13:30:00,00:40:00,Alcest,Sunday,The Valley
2008,15:00:00,15:40:00,00:40:00,Alchemistÿ,Friday,Discover stage
2016,11:05:00,11:35:00,00:30:00,Alea Jacta Est,Sunday,The Warzone
2015,18:35:00,19:25:00,00:50:00,Alestorm,Sunday,The Temple
2015,20:45:00,22:00:00,01:15:00,Alice Cooper,Friday,Mainstage 01
2010,23:35:00,00:50:00,01:15:00,Alice Cooper,Saturday,Mainstage 01
2006,20:10:00,20:55:00,00:45:00,Alice in Chains,Friday,Mainstage
2012,11:05:00,11:50:00,00:45:00,All For Nothing,Sunday,The Warzone
2016,13:35:00,14:15:00,00:40:00,All Pigs Must Die,Friday,The Warzone
2012,12:50:00,13:30:00,00:40:00,All Shall Perish,Sunday,Mainstage 02
2009,14:25:00,15:05:00,00:40:00,All Shall Perish,Saturday,Terrorizer tent
2012,11:05:00,11:35:00,00:30:00,Alpha Tiger,Friday,Mainstage 01
2011,15:25:00,16:15:00,00:50:00,Alter Bridge,Friday,Mainstage 01
2014,16:45:00,17:45:00,01:00:00,Alter Bridge,Sunday,Mainstage 01
2009,20:00:00,20:45:00,00:45:00,Amebix,Saturday,Mainstage 02
2006,13:00:00,13:30:00,00:30:00,Amenra,Sunday,Hard'n'heavy stage
2012,12:50:00,13:30:00,00:40:00,Amenra,Saturday,The Valley
2012,00:45:00,02:00:00,01:15:00,Amon Amarth,Friday,The Temple
2007,18:30:00,19:10:00,00:40:00,Amon Amarth,Saturday,Mainstage
2016,19:40:00,20:40:00,01:00:00,Amon Amarth,Sunday,Mainstage 02
2009,23:55:00,00:55:00,01:00:00,Amon Amarth,Sunday,Rock Hard tent
2013,18:55:00,19:45:00,00:50:00,Amorphis,Saturday,The Altar
2012,15:55:00,16:40:00,00:45:00,Anaal Nathrakh,Sunday,The Temple
2008,20:00:00,20:40:00,00:40:00,Anaal Nathrakh,Saturday,Discover stage
2008,17:35:00,18:15:00,00:40:00,Anathema,Saturday,Second stage
2011,18:05:00,18:55:00,00:50:00,Anathema,Sunday,Mainstage 02
2011,12:20:00,13:00:00,00:40:00,Angel Witch,Saturday,Mainstage 01
2014,10:30:00,11:00:00,00:30:00,Angelus Apatrida,Friday,Mainstage 02
2014,16:00:00,16:50:00,00:50:00,Angra,Sunday,Mainstage 02
2007,15:00:00,15:30:00,00:30:00,Animosityÿ,Sunday,Mainstage
2014,17:50:00,18:40:00,00:50:00,Annihilator,Sunday,Mainstage 02
2010,19:55:00,20:45:00,00:50:00,Annihilator,Saturday,Mainstage 02
2016,16:45:00,17:35:00,00:50:00,Anthrax,Friday,Mainstage 01
2009,21:55:00,22:45:00,00:50:00,Anthrax,Friday,Mainstage 02
2013,22:55:00,23:55:00,01:00:00,Anti-Flag,Friday,The Warzone
2010,16:05:00,16:55:00,00:50:00,Anvil,Saturday,Mainstage 02
2012,10:30:00,11:00:00,00:30:00,Aosoth,Sunday,The Temple
2011,18:50:00,19:50:00,01:00:00,Apocalyptica,Saturday,Mainstage 01
2008,20:15:00,21:15:00,01:00:00,Apocalyptica,Saturday,Mainstage
2006,21:35:00,22:20:00,00:45:00,Apocalyptica,Friday,Mainstage
2010,22:30:00,23:30:00,01:00:00,Arch Enemy,Friday,Mainstage 02
2006,23:45:00,00:30:00,00:45:00,Arch Enemy,Saturday,Hard'n'heavy stage
2015,23:45:00,00:45:00,01:00:00,Arch Enemy,Sunday,The Altar
2016,18:35:00,19:25:00,00:50:00,Archgoat,Saturday,The Temple
2011,12:15:00,12:55:00,00:40:00,Architects,Friday,Mainstage 01
2012,22:05:00,23:05:00,01:00:00,Arcturus,Sunday,The Temple
2015,12:15:00,12:45:00,00:30:00,Argile,Friday,The Temple
2011,13:40:00,14:25:00,00:45:00,Arkona,Sunday,Rock Hard tent
2015,18:35:00,19:25:00,00:50:00,Arkona,Friday,The Temple
2011,10:30:00,11:00:00,00:30:00,Arma Gathas,Saturday,Terrorizer tent
2015,15:05:00,15:45:00,00:40:00,Armored Saint,Friday,Mainstage 01
2012,18:20:00,19:20:00,01:00:00,Arson Anthemÿ,Friday,The Warzone
2016,10:30:00,11:00:00,00:30:00,Arthemis,Sunday,Mainstage 02
2006,13:30:00,14:00:00,00:30:00,As I Lay Dying,Saturday,Mainstage
2010,19:40:00,20:25:00,00:45:00,As I Lay Dying,Saturday,Terrorizer tent
2012,11:05:00,11:50:00,00:45:00,As They Burn,Saturday,The Warzone
2012,14:20:00,15:10:00,00:50:00,Ascension,Saturday,The Temple
2015,15:50:00,16:30:00,00:40:00,ASG,Saturday,The Valley
2013,11:40:00,12:10:00,00:30:00,Asking Alexandria,Saturday,Mainstage 02
2010,15:15:00,16:00:00,00:45:00,Asphyx,Saturday,Rock Hard tent
2013,18:35:00,19:35:00,01:00:00,Asphyx,Friday,The Altar
2016,19:30:00,20:20:00,00:50:00,Asphyx,Saturday,The Altar
2008,21:30:00,22:15:00,00:45:00,At the Gates,Sunday,Second stage
2015,21:35:00,22:35:00,01:00:00,At the Gates,Sunday,The Altar
2013,22:55:00,23:55:00,01:00:00,At the Gates,Friday,The Altar
2013,01:00:00,02:00:00,01:00:00,Atari Teenage Riot,Sunday,The Warzone
2011,12:50:00,13:35:00,00:45:00,Atheist,Sunday,Mainstage 02
2007,17:10:00,17:50:00,00:40:00,Atheist,Sunday,Mainstage
2016,14:20:00,15:00:00,00:40:00,Atreyu,Saturday,Mainstage 02
2013,11:05:00,11:35:00,00:30:00,Attentat Rock,Saturday,Mainstage 01
2011,10:20:00,10:50:00,00:30:00,Audrey Horne,Sunday,Mainstage 02
2016,11:40:00,12:10:00,00:30:00,Audrey Horne,Friday,Mainstage 02
2013,12:15:00,12:45:00,00:30:00,Audrey Horne,Saturday,Mainstage 01
2016,12:50:00,13:30:00,00:40:00,August Burns Red,Saturday,Mainstage 02
2012,14:20:00,15:00:00,00:40:00,August Burns Red,Sunday,Mainstage 02
2013,16:00:00,16:40:00,00:40:00,Aura Noir,Friday,The Temple
2009,16:40:00,17:20:00,00:40:00,Aura Noir,Saturday,Rock Hard tent
2016,22:40:00,23:40:00,01:00:00,Aura Noir,Friday,The Temple
2008,14:00:00,14:40:00,00:40:00,Ava Inferiÿ,Friday,Discover stage
2013,01:00:00,02:00:00,01:00:00,Avantasia,Friday,Mainstage 02
2014,01:00:00,02:05:00,01:05:00,Avenged Sevenfold,Saturday,Mainstage 02
2006,17:50:00,18:30:00,00:40:00,Avenged Sevenfold,Friday,Mainstage
2012,14:20:00,15:10:00,00:50:00,Avulsed,Saturday,The Altar
2014,12:15:00,12:45:00,00:30:00,Ays,Saturday,The Warzone
2014,10:30:00,11:00:00,00:30:00,Azziard,Sunday,The Temple
2016,12:15:00,12:45:00,00:30:00,Backtrack,Sunday,The Warzone
2009,14:25:00,15:05:00,00:40:00,Backyard Babies,Friday,Mainstage 01
2015,16:00:00,16:40:00,00:40:00,Backyard Babies,Saturday,Mainstage 02
2011,01:00:00,02:00:00,01:00:00,Bad Brains,Saturday,Terrorizer tent
2013,01:05:00,02:05:00,01:00:00,Bad Religion,Saturday,The Warzone
2016,20:25:00,21:15:00,00:50:00,Bad Religion,Saturday,The Warzone
2013,13:35:00,14:15:00,00:40:00,Bane,Friday,The Warzone
2008,21:00:00,21:40:00,00:40:00,Baroness,Friday,Discover stage
2012,10:30:00,11:00:00,00:30:00,Behemoth,Saturday,The Temple
2010,16:05:00,16:55:00,00:50:00,Behemoth,Sunday,Mainstage 02
2007,17:50:00,18:30:00,00:40:00,Behemoth,Sunday,Gibson stage
2014,19:50:00,20:45:00,00:55:00,Behemoth,Sunday,Mainstage 02
2016,15:05:00,15:45:00,00:40:00,Behexen,Friday,The Temple
2012,11:40:00,12:10:00,00:30:00,Belenos,Friday,The Temple
2008,01:00:00,02:00:00,01:00:00,Belphegor,Saturday,Discover stage
2013,19:50:00,20:40:00,00:50:00,Belphegor,Saturday,The Temple
2011,21:15:00,22:05:00,00:50:00,Belphegor,Friday,Rock Hard tent
2012,12:50:00,13:30:00,00:40:00,Benediction,Friday,The Altar
2012,11:40:00,12:10:00,00:30:00,Benighted,Friday,The Altar
2014,12:15:00,12:45:00,00:30:00,Benighted,Saturday,The Altar
2008,14:00:00,14:40:00,00:40:00,Benighted,Saturday,Discover stage
2013,12:15:00,12:45:00,00:30:00,Berri Txarrak,Friday,The Warzone
2009,19:05:00,19:55:00,00:50:00,Betrayed,Saturday,Terrorizer tent
2012,10:30:00,11:00:00,00:30:00,Betraying the Martyrs,Friday,Mainstage 02
2008,12:30:00,13:00:00,00:30:00,Between the Buried and Me,Sunday,Discover stage
2013,16:45:00,17:35:00,00:50:00,Between the Buried and Me,Friday,The Altar
2010,17:10:00,17:50:00,00:40:00,Between the Buried and Me,Friday,Terrorizer tent
2012,16:05:00,16:55:00,00:50:00,Big Businessÿ,Saturday,The Valley
2015,16:35:00,17:35:00,01:00:00,Billy Idol,Friday,Mainstage 01
2015,00:40:00,01:40:00,01:00:00,Biohazard,Saturday,The Warzone
2010,00:55:00,02:00:00,01:05:00,Biohazard,Friday,Mainstage 02
2012,23:10:00,00:55:00,01:45:00,Biohazard,Sunday,The Warzone
2015,11:05:00,11:35:00,00:30:00,Birds in Raw,Sunday,The Warzone
2013,12:50:00,13:30:00,00:40:00,Bison B.C.,Friday,The Valley
2012,12:50:00,13:30:00,00:40:00,Black Bomb A,Friday,Mainstage 02
2013,16:00:00,16:40:00,00:40:00,Black Breath,Friday,The Valley
2010,13:50:00,14:30:00,00:40:00,Black Cobra,Sunday,Terrorizer tent
2013,14:20:00,15:00:00,00:40:00,Black Cobra,Friday,The Valley
2012,15:05:00,15:50:00,00:45:00,Black Label Society,Sunday,Mainstage 01
2011,20:50:00,21:50:00,01:00:00,Black Label Society,Saturday,Mainstage 01
2013,19:40:00,20:40:00,01:00:00,Black Pyramid,Friday,The Valley
2016,23:10:00,00:40:00,01:30:00,Black Sabbath,Sunday,Mainstage 01
2014,23:10:00,00:55:00,01:45:00,Black Sabbath,Sunday,Mainstage 01
2013,12:15:00,12:45:00,00:30:00,Black Spidersÿ,Friday,Mainstage 01
2008,13:20:00,13:50:00,00:30:00,Black Tide,Saturday,Discover stage
2014,16:00:00,16:50:00,00:50:00,Black Tusk,Sunday,The Valley
2014,11:40:00,12:10:00,00:30:00,Blacklodge,Sunday,The Temple
2010,10:30:00,11:00:00,00:30:00,BlasphŠme,Sunday,Mainstage 02
2014,16:55:00,17:45:00,00:50:00,BL'AST!,Saturday,The Warzone
2008,12:30:00,13:00:00,00:30:00,Blazing War Machine,Saturday,Discover stage
2008,01:00:00,02:00:00,01:00:00,Bleeding Through,Friday,Discover stage
2016,17:40:00,18:30:00,00:50:00,Blind Guardian,Sunday,Mainstage 02
2007,22:20:00,23:00:00,00:40:00,Blind Guardian,Sunday,Gibson stage
2014,13:35:00,14:15:00,00:40:00,Blockheads,Friday,The Altar
2009,14:25:00,15:05:00,00:40:00,Blockheads,Friday,Terrorizer tent
2012,15:55:00,16:40:00,00:45:00,Blood Red Throne,Sunday,The Altar
2010,23:30:00,00:30:00,01:00:00,Bloodbath,Sunday,Rock Hard tent
2015,19:30:00,20:25:00,00:55:00,Bloodbath,Friday,The Altar
2007,15:00:00,15:30:00,00:30:00,Bloodsimple,Friday,Mainstage
2006,15:30:00,16:10:00,00:40:00,Bloodsimple,Friday,Mainstage
2012,18:35:00,19:35:00,01:00:00,Blue ™yster Cult,Sunday,Mainstage 01
2014,11:05:00,11:35:00,00:30:00,Blues Pills,Sunday,Mainstage 01
2015,20:05:00,21:05:00,01:00:00,Body Count ft Ice-T,Saturday,The Warzone
2011,23:15:00,00:15:00,01:00:00,Bolt Thrower,Saturday,Rock Hard tent
2015,11:40:00,12:10:00,00:30:00,B”lzer,Friday,The Altar
2014,12:50:00,13:30:00,00:40:00,Borgne,Saturday,The Temple
2008,12:40:00,13:10:00,00:30:00,Born From Pain,Friday,Second stage
2010,16:10:00,16:50:00,00:40:00,Born From Pain,Saturday,Terrorizer tent
2006,18:30:00,19:00:00,00:30:00,Born From Pain,Sunday,Hard'n'heavy stage
2006,19:40:00,20:10:00,00:30:00,Boysetsfire,Saturday,Hard'n'heavy stage
2012,15:50:00,16:30:00,00:40:00,Brain Police,Friday,The Valley
2015,19:10:00,20:00:00,00:50:00,Brant Bjork,Saturday,The Valley
2010,19:30:00,20:15:00,00:45:00,Brant Bjork and the Bros,Sunday,Terrorizer tent
2015,10:30:00,11:00:00,00:30:00,Breakdust,Friday,Mainstage 02
2016,21:55:00,22:55:00,01:00:00,Bring Me the Horizon,Saturday,Mainstage 02
2016,15:50:00,16:40:00,00:50:00,Brodequin,Sunday,The Altar
2015,12:15:00,12:45:00,00:30:00,Broken Teeth,Saturday,The Warzone
2007,17:10:00,17:50:00,00:40:00,Brujeria,Saturday,Mainstage
2012,17:30:00,18:15:00,00:45:00,Brujeria,Friday,The Altar
2009,01:00:00,02:00:00,01:00:00,Brutal Truth,Sunday,Terrorizer tent
2012,14:20:00,15:00:00,00:40:00,Brutal Truth,Sunday,The Altar
2007,20:40:00,21:20:00,00:40:00,Brutal Truth,Friday,Gibson stage
2014,20:45:00,21:45:00,01:00:00,Brutal Truth,Saturday,The Altar
2014,12:15:00,12:45:00,00:30:00,Brutality Will Prevail,Friday,The Warzone
2014,14:20:00,15:05:00,00:45:00,Buckcherry,Saturday,Mainstage 02
2009,17:25:00,18:10:00,00:45:00,Buckcherry,Friday,Mainstage 01
2012,12:15:00,12:45:00,00:30:00,Bukowski,Friday,Mainstage 01
2016,18:35:00,19:35:00,01:00:00,Bullet for my Valentine,Friday,Mainstage 01
2013,22:05:00,23:05:00,01:00:00,Bullet for My Valentine,Saturday,Mainstage 02
2014,13:35:00,14:15:00,00:40:00,Burning Heads,Saturday,The Warzone
2016,11:40:00,12:10:00,00:30:00,Bury Tomorrow,Saturday,Mainstage 02
2013,15:15:00,16:05:00,00:50:00,Bury Your Dead,Saturday,The Warzone
2015,12:15:00,12:45:00,00:30:00,Butcher Babies,Saturday,Mainstage 01
2013,18:35:00,19:30:00,00:55:00,Buzzcocks,Sunday,The Warzone
2016,18:35:00,19:25:00,00:50:00,Caliban,Sunday,The Warzone
2012,15:15:00,16:00:00,00:45:00,Cancer Bats,Saturday,The Warzone
2008,19:25:00,20:10:00,00:45:00,Candlemass,Saturday,Second stage
2010,20:30:00,21:30:00,01:00:00,Candlemass,Saturday,Rock Hard tent
2013,22:55:00,23:55:00,01:00:00,Candlemass,Saturday,The Altar
2007,00:00:00,01:00:00,01:00:00,Cannibal Corpse,Friday,Gibson stage
2015,19:30:00,20:20:00,00:50:00,Cannibal Corpse,Sunday,The Altar
2012,21:25:00,22:25:00,01:00:00,Cannibal Corpse,Friday,The Altar
2006,18:30:00,19:00:00,00:30:00,Capricorns,Saturday,Hard'n'heavy stage
2013,11:05:00,11:35:00,00:30:00,Captain Cleanoff,Friday,The Altar
2015,13:35:00,14:15:00,00:40:00,Carach Angren,Sunday,The Temple
2008,23:50:00,00:50:00,01:00:00,Carcass,Friday,Second stage
2010,01:00:00,02:00:00,01:00:00,Carcass,Saturday,Mainstage 02
2014,01:05:00,02:05:00,01:00:00,Carcass,Saturday,The Altar
2014,11:05:00,11:35:00,00:30:00,Carnal Lust,Sunday,The Altar
2010,11:20:00,11:50:00,00:30:00,Carnifex,Friday,Terrorizer tent
2006,12:30:00,13:00:00,00:30:00,Carnival in Coal,Sunday,Mainstage
2013,21:50:00,22:50:00,01:00:00,Carpathian Forest,Friday,The Temple
2014,12:50:00,13:30:00,00:40:00,Caspian,Friday,The Valley
2009,20:00:00,20:45:00,00:45:00,Cathedral,Sunday,Rock Hard tent
2016,14:20:00,15:00:00,00:40:00,Cattle Decapitation,Saturday,The Altar
2008,01:00:00,02:00:00,01:00:00,Cavalera Conspiracy,Saturday,Mainstage
2011,17:00:00,18:00:00,01:00:00,Cavalera Conspiracy,Sunday,Mainstage 01
2015,18:35:00,19:35:00,01:00:00,Cavalera Conspiracy,Sunday,Mainstage 01
2012,11:40:00,12:10:00,00:30:00,Celeste,Friday,The Valley
2006,23:45:00,00:30:00,00:45:00,Celtic Frost,Sunday,Hard'n'heavy stage
2006,16:10:00,16:40:00,00:30:00,Cephalic Carnage,Friday,Hard'n'heavy stage
2013,20:45:00,21:45:00,01:00:00,Ceremonial Oathÿ,Friday,The Altar
2012,12:50:00,13:30:00,00:40:00,Channel Zero,Saturday,Mainstage 02
2012,23:30:00,00:30:00,01:00:00,Children of Bodom,Sunday,The Altar
2007,21:20:00,22:20:00,01:00:00,Children of Bodom,Saturday,Mainstage
2015,21:35:00,22:35:00,01:00:00,Children of Bodom,Friday,The Altar
2007,17:10:00,17:50:00,00:40:00,Chimaira,Friday,Mainstage
2011,14:40:00,15:20:00,00:40:00,Church of Misery,Friday,Terrorizer tent
2009,18:15:00,19:00:00,00:45:00,Clutch,Saturday,Mainstage 02
2014,19:45:00,20:40:00,00:55:00,Clutch,Saturday,The Valley
2011,22:10:00,23:00:00,00:50:00,Clutch,Friday,Terrorizer tent
2013,14:20:00,15:10:00,00:50:00,Coal Chamber,Saturday,Mainstage 02
2009,20:50:00,21:50:00,01:00:00,Coalesceÿ,Sunday,Terrorizer tent
2014,11:05:00,11:35:00,00:30:00,Cobra,Sunday,The Warzone
2015,11:40:00,12:10:00,00:30:00,Cock and Ball Torture,Saturday,The Altar
2015,22:40:00,23:40:00,01:00:00,Cock Sparrer,Friday,The Warzone
2013,16:45:00,17:35:00,00:50:00,Cockney Rejects,Sunday,The Warzone
2015,12:15:00,12:45:00,00:30:00,Code Orange,Sunday,The Warzone
2015,19:10:00,20:00:00,00:50:00,Coffins,Saturday,The Altar
2007,20:15:00,20:45:00,00:30:00,Coldworkerÿ,Friday,Discover stage
2012,22:05:00,23:05:00,01:00:00,Colour Haze,Friday,The Valley
2011,18:20:00,19:05:00,00:45:00,Comeback Kid,Saturday,Terrorizer tent
2014,20:45:00,21:45:00,01:00:00,Comeback Kid,Saturday,The Warzone
2008,23:00:00,23:40:00,00:40:00,Comeback Kid,Sunday,Discover stage
2014,11:40:00,12:10:00,00:30:00,Conan,Friday,The Valley
2010,13:45:00,14:25:00,00:40:00,Condko‹,Saturday,Rock Hard tent
2011,23:30:00,00:30:00,01:00:00,Converge,Saturday,Terrorizer tent
2007,19:10:00,19:50:00,00:40:00,Converge,Sunday,Gibson stage
2013,20:45:00,21:45:00,01:00:00,Converge,Saturday,The Warzone
2016,22:40:00,23:40:00,01:00:00,Converge,Friday,The Warzone
2011,01:00:00,02:00:00,01:00:00,Coroner,Saturday,Mainstage 02
2011,20:50:00,21:40:00,00:50:00,Corrosion of Conformity,Friday,Terrorizer tent
2016,10:30:00,11:00:00,00:30:00,Corrosive Elements,Sunday,The Altar
2006,12:00:00,12:30:00,00:30:00,Cortez,Saturday,Hard'n'heavy stage
2016,11:05:00,11:35:00,00:30:00,Cowards,Friday,The Warzone
2013,23:55:00,00:55:00,01:00:00,Cradle of Filth,Sunday,The Temple
2011,01:00:00,02:00:00,01:00:00,Cradle of Filth,Sunday,Rock Hard tent
2009,17:25:00,18:10:00,00:45:00,Cradle of Filth,Saturday,Mainstage 01
2015,20:30:00,21:30:00,01:00:00,Cradle of Filth,Friday,The Temple
2006,21:35:00,22:20:00,00:45:00,Cradle of Filth,Saturday,Mainstage
2015,15:05:00,15:45:00,00:40:00,Craft,Saturday,The Temple
2012,13:35:00,14:15:00,00:40:00,Crashd‹et,Saturday,Mainstage 01
2016,12:50:00,13:30:00,00:40:00,Crobot,Saturday,The Valley
2009,01:00:00,02:00:00,01:00:00,Cro-Mags,Saturday,Terrorizer tent
2014,12:15:00,12:45:00,00:30:00,Crossfaith,Friday,Mainstage 01
2010,12:50:00,13:30:00,00:40:00,Crowbar,Friday,Mainstage 02
2014,13:35:00,14:15:00,00:40:00,Crowbar,Sunday,Mainstage 01
2016,12:15:00,12:45:00,00:30:00,Cruachan,Friday,The Temple
2011,11:10:00,11:40:00,00:30:00,Crucified Barbara,Saturday,Mainstage 01
2015,14:20:00,15:00:00,00:40:00,Crusher,Saturday,The Altar
2014,12:15:00,12:45:00,00:30:00,Crushing Caspars,Sunday,The Warzone
2013,15:05:00,15:50:00,00:45:00,Cryptopsy,Sunday,The Altar
2008,00:00:00,00:40:00,00:40:00,Cult of Luna,Sunday,Discover stage
2013,00:00:00,01:00:00,01:00:00,Cult of Luna,Saturday,The Valley
2007,19:10:00,19:50:00,00:40:00,Cynic,Saturday,Gibson stage
2012,13:35:00,14:15:00,00:40:00,D.A.D.,Sunday,Mainstage 01
2012,17:40:00,18:30:00,00:50:00,D.Usk,Sunday,The Valley
2009,12:55:00,13:35:00,00:40:00,Dagoba,Saturday,Mainstage 01
2011,14:35:00,15:20:00,00:45:00,Dagoba,Friday,Mainstage 02
2014,17:50:00,18:40:00,00:50:00,Dagoba,Saturday,Mainstage 02
2006,18:30:00,19:00:00,00:30:00,Dagoba,Friday,Hard'n'heavy stage
2006,14:00:00,14:30:00,00:30:00,Damnation A.D.,Saturday,Hard'n'heavy stage
2008,15:00:00,15:40:00,00:40:00,Danko Jones,Friday,Mainstage
2013,15:05:00,15:50:00,00:45:00,Danko Jones,Sunday,Mainstage 01
2006,17:50:00,18:30:00,00:40:00,Danko Jones,Saturday,Mainstage
2013,21:45:00,22:45:00,01:00:00,Danzig,Sunday,The Valley
2014,18:45:00,19:55:00,01:10:00,Dark Angel,Sunday,Mainstage 01
2016,13:35:00,14:15:00,00:40:00,Dark Fortress,Saturday,The Temple
2016,01:00:00,02:00:00,01:00:00,Dark Funeral,Saturday,The Temple
2010,18:50:00,19:50:00,01:00:00,Dark Funeral,Saturday,Rock Hard tent
2013,19:35:00,20:35:00,01:00:00,Dark Funeral,Sunday,The Temple
2011,23:25:00,00:25:00,01:00:00,Dark Tranquillity,Sunday,Rock Hard tent
2015,14:20:00,15:00:00,00:40:00,Dark Tranquillity,Sunday,Mainstage 02
2007,16:00:00,16:40:00,00:40:00,Dark Tranquillity,Sunday,Mainstage
2006,14:30:00,15:00:00,00:30:00,Darkest Hour,Friday,Mainstage
2012,22:50:00,22:05:00,check,Darkest Hour,Saturday,The Warzone
2014,10:30:00,11:00:00,00:30:00,Darkness Dynamite,Saturday,Mainstage 02
2012,15:50:00,16:30:00,00:40:00,Darkspace,Friday,The Temple
2013,12:15:00,12:45:00,00:30:00,Dead Congregationÿ,Saturday,The Altar
2015,00:50:00,01:50:00,01:00:00,Dead Kennedys,Friday,The Warzone
2006,00:30:00,???,check,Dead Kennedys,Sunday,Mainstage
2006,00:30:00,???,check,Dead to Fall,Friday,Mainstage
2016,12:50:00,13:30:00,00:40:00,Death Alley,Sunday,The Valley
2008,14:10:00,14:50:00,00:40:00,Death Angel,Friday,Second stage
2012,14:20:00,15:10:00,00:50:00,Death Angel,Saturday,Mainstage 02
2014,17:50:00,18:40:00,00:50:00,Death Angel,Friday,Mainstage 02
2012,13:35:00,14:15:00,00:40:00,Death Before Dishonor,Sunday,The Warzone
2015,12:50:00,13:30:00,00:40:00,Death Engine,Sunday,The Valley
2014,22:55:00,23:55:00,01:00:00,Death: DTA,Friday,The Altar
2010,13:45:00,14:25:00,00:40:00,Decapitated,Sunday,Rock Hard tent
2015,10:30:00,11:00:00,00:30:00,Deep in Hate,Saturday,The Altar
2014,21:55:00,22:50:00,00:55:00,Deep Purple,Saturday,Mainstage 02
2011,13:30:00,14:10:00,00:40:00,Deez Nuts,Saturday,Terrorizer tent
2013,16:45:00,17:35:00,00:50:00,Deez Nuts,Friday,The Warzone
2013,23:10:00,00:55:00,01:45:00,Def Leppard,Friday,Mainstage 01
2007,19:30:00,20:00:00,00:30:00,dEFDUMp,Saturday,Discover stage
2015,15:05:00,15:45:00,00:40:00,Defeater,Friday,The Warzone
2010,16:45:00,18:00:00,01:15:00,Deftones,Friday,Mainstage 01
2016,00:45:00,01:45:00,01:00:00,Deicide,Sunday,The Temple
2016,11:05:00,11:35:00,00:30:00,Delain,Friday,Mainstage 01
2010,12:15:00,12:55:00,00:40:00,Delain,Saturday,Mainstage 01
2006,15:00:00,15:30:00,00:30:00,Demented Are Go!,Sunday,Hard'n'heavy stage
2015,12:15:00,12:45:00,00:30:00,Der Weg einer Freiheit,Saturday,The Temple
2015,12:15:00,12:45:00,00:30:00,Despise You,Friday,The Warzone
2007,18:00:00,18:30:00,00:30:00,Destinity,Friday,Discover stage
2009,15:10:00,15:50:00,00:40:00,Destr”yer 666,Friday,Rock Hard tent
2014,16:00:00,16:50:00,00:50:00,Destr”yer 666,Friday,The Temple
